Part number,Part name,Location,Price,Balance,Unit,Value,WH
100202,Guiding Pin UC,810602,2.89,40.00,Pcs,115.60,STD
100420,UC X18 S60 WU w bushings,020604,"1,597.30",3.00,Pcs,"4,791.90",STD
100420,UC X18 S60 WU w bushings,020603,"1,597.30",4.00,Pcs,"6,389.20",STD
100420,UC X18 S60 WU w bushings,020701,"1,597.30",1.00,Pcs,"1,597.30",STD
100420,UC X18 S60 WU w bushings,020602,"1,597.30",1.00,Pcs,"1,597.30",STD
100450,UC X12 S50 WU w bushings,020202,"1,613.00",8.00,Pcs,"12,904.00",STD
100450,UC X12 S50 WU w bushings,020201,"1,613.00",16.00,Pcs,"25,808.00",STD
100450,UC X12 S50 WU w bushings,020203,"1,613.00",1.00,Pcs,"1,613.00",STD
100582,Tube Spacer Grip Cylinder,810603,2.61,9.00,Pcs,23.49,STD
100815,Motor Cover X12-X26 WU,030101,25.61,1.00,Pcs,25.61,STD
100933,Spacer Support,810604,1.22,7.00,Pcs,8.54,STD
100993,Tube Spacer Gripper Cylinder,810603,1.14,4.00,Pcs,4.56,STD
101000,"Bucket GB08-S30/180 (W700mm/28"")",080101,487.63,2.00,Pcs,975.26,STD
101001,"Bucket GB1-S30/180 (W800mm/31"")",070403,546.71,1.00,Pcs,546.71,STD
101001,"Bucket GB1-S30/180 (W800mm/31"")",070203,546.71,1.00,Pcs,546.71,STD
101003,"Bucket GB2-S30/180 (W900mm/35"")",060204,639.75,1.00,Pcs,639.75,STD
101003,"Bucket GB2-S30/180 (W900mm/35"")",080302,639.75,1.00,Pcs,639.75,STD
101003,"Bucket GB2-S30/180 (W900mm/35"")",080203,639.75,1.00,Pcs,639.75,STD
101005,"Bucket GB2-S40 (W900mm/35"")",080403,702.55,2.00,Pcs,"1,405.10",STD
101005,"Bucket GB2-S40 (W900mm/35"")",080204,702.55,3.00,Pcs,"2,107.65",STD
101005,"Bucket GB2-S40 (W900mm/35"")",080202,702.55,1.00,Pcs,702.55,STD
